30 20
#############
#...........#    #############
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #...@$..#      #...*..#
  #.......#      #......#
  #.......#      #....6.#
  #.......#      #.....7#
  #########       ######
