73 28
#################      ###################                                                        ################
#...............#      #.................#                                                        #..............#
#...............#      #.................#                                                        #..............#
#...............########.................#                                                        #######..#######
#........................................#                                                              #..#
#...............########.................#                                                              #..#
#...............#      #.................#                                                              #..#
#######.########       #.................#                                                              #..#
     #.#              ########.##########                                                               #..#
     #.#                     #.#                                                                        #..#
#######.#######       #########.#########    ##############                                       #######..########         ###############
#.............#       #.................#    #............#                                       #...............#         #.............#
#.............#       #...s...s.........######............#                                       #...............#         #.............#
#.............#########...................................#                           #######     #...............#         #.............#
#.......................................######............#       #######             #.....#     #...............#         #.............#
#.............#########.....s...........#    #............#########.....#             #.....#######...............###########.............#
#.............#       #.................#    #..........................#             #...................................................#
#.............#       #.................#    #............#########.....#             #.....#######...............###########.............#
###############       ######....#########    ##############       #######             #.....#     #...............#         #.............#
                            #..#                                                      #######     #...............#         #.............#
                            #..#                                                                  #...............#         #.............#
                            #..#                                                                  #######..########         ###############
                         ####..####                                                                     #..#
                         #........#                                                                     #..#
                         #...@....#                                                               #######..#######
                         #........#                                                               #..............#
                         ##########                                                               #..............#
                                                                                                  #..............#
                                                                                                  #..............#
                                                                                                  #..............#
                                                                                                  ################
